error_type,occurrence_count,unique_users
Missing or insufficient permissions.,154,71
e.unlockedNodes is not iterable,73,9
[firestore/permission-denied] The caller does not have permission to execute the specified operation.,47,13
[Run.game SDK] Profile not available. You must await RundotGameAPI.initializeAsync() before calling getProfile(). INIT_SDK has not completed.,39,11
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30001ms,20,16
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30000ms,15,14
Rate limit exceeded,14,13
Invalid leaderboard submission,13,12
Cannot read properties of undefined (reading 'includes'),11,6
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30002ms,10,7
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30003ms,4,3
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30006ms,4,3
Script error.,4,4
Network Error,4,4
[firestore/unavailable] The service is currently unavailable. This is a most likely a transient condition and may be corrected by retrying with a backoff.,3,1
"Unexpected token 's', \",3,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30004ms,3,3
RPC call H5_LOG_ANALYTICS_EVENT timed out after 30001ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30007ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30043ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30491ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 29999ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30008ms,2,2
RPC call H5_DEBUG timed out after 30001ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30088ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30016ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30005ms,2,2
RPC call H5_DEBUG timed out after 30000ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30025ms,2,2
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30099ms,1,1
RPC call H5_LOG_ANALYTICS_EVENT timed out after 4584401ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 164643ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30873ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30074ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 338502ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 234645ms,1,1
RPC call H5_DEBUG timed out after 156446ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30897ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 218387ms,1,1
RPC call H5_DEBUG timed out after 4584416ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30874ms,1,1
RPC call H5_DEBUG timed out after 4584397ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30201ms,1,1
undefined is not an object (evaluating 'e.unlockedNodes.includes'),1,1
RPC call H5_LOG_ANALYTICS_EVENT timed out after 4584412ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 30459ms,1,1
RPC call H5_LOG_ANALYTICS_EVENT timed out after 74280ms,1,1
RPC call H5_APP_STORAGE_SET_ITEM timed out after 82455ms,1,1
RPC call H5_DEBUG timed out after 4584411ms,1,1
